num_conv_layers,max_filters,dropout,dense_nodes,activation_function_conv,status,best_val_acc_train_acc,best_val_acc,best_val_acc_train_loss,best_val_acc_loss,best_val_epoch
2,128,0.4,256,LeakyReLU,loaded,0.8697666525840759,0.8730499744415283,0.34128767251968384,0.32120180130004883,2
3,128,0.4,256,LeakyReLU,loaded,0.8999666571617126,0.871399998664856,0.3238281309604645,0.3444691598415375,0
2,32,0.5,256,LeakyReLU,loaded,0.8774666786193848,0.8707500100135803,0.30583587288856506,0.3182279169559479,2
2,128,0.5,512,LeakyReLU,loaded,0.8918666839599609,0.870199978351593,0.2783742845058441,0.3055625855922699,2
2,128,0.5,256,relu,loaded,0.9110999703407288,0.8695999979972839,0.25603294372558594,0.38510099053382874,12
3,128,0.5,128,LeakyReLU,loaded,0.8911666870117188,0.8670499920845032,0.32106107473373413,0.3919634222984314,1
2,128,0.5,512,relu,loaded,0.9029666781425476,0.8661500215530396,0.3517971336841583,0.5045186281204224,13
2,128,0.5,128,LeakyReLU,loaded,0.8931999802589417,0.8658999800682068,0.32698485255241394,0.3997059762477875,9
3,32,0.4,128,LeakyReLU,loaded,0.9002000093460083,0.8654999732971191,0.3137342035770416,0.44928064942359924,4
3,64,0.4,256,LeakyReLU,loaded,0.9033666849136353,0.8619999885559082,0.2883070707321167,0.42430463433265686,3
2,128,0.4,512,LeakyReLU,loaded,0.8974999785423279,0.8611500263214111,0.4420800805091858,0.6605371832847595,19
3,128,0.4,128,LeakyReLU,loaded,0.8483666777610779,0.850350022315979,0.38125157356262207,0.36747294664382935,0
2,128,0.4,128,LeakyReLU,loaded,0.8244666457176208,0.8438000082969666,0.47541162371635437,0.4444325566291809,4
2,128,0.4,128,relu,loaded,0.8861333131790161,0.8434000015258789,0.4098443388938904,0.5755167007446289,13
2,64,0.5,512,relu,loaded,0.8833000063896179,0.8344500064849854,0.4077371060848236,0.5822331309318542,8
